"Symbol","EndDate","TotalRevenue","ROEC"
"000016","2020-12-31","50351836554.8700","0.0523"
"000016","2021-12-31","49106513669.5800","0.0771"
"000016","2022-12-31","29607854255.2700","-0.1897"
"000017","2000-12-31","67973081.9000","-1.4576"
"000017","2001-12-31","51875289.3700",""
"000017","2002-12-31","71589597.7000",""
"000017","2003-12-31","99014966.3800",""
"000017","2004-12-31","138192485.8200",""
"000017","2005-12-31","164222481.9100",""
"000017","2006-12-31","219673260.1100",""
"000017","2007-12-31","234601314.7100",""
"000017","2008-12-31","274202840.4800",""
"000017","2009-12-31","260908108.8200",""
"000017","2010-12-31","299027279.4300",""
"000017","2011-12-31","321043570.3400",""
"000017","2012-12-31","292827026.5500",""
"000017","2013-12-31","271111736.0700",""
"000017","2014-12-31","212070585.7700","0.5457"
"000017","2015-12-31","170990030.1000","-0.0079"
"000017","2016-12-31","141970520.8000","0.2538"
"000017","2017-12-31","137490597.6900","0.0874"
"000017","2018-12-31","119906950.3400","-0.1049"
"000017","2019-12-31","76022687.7500","-0.5498"
"000017","2020-12-31","117857480.1700","0.2360"
"000017","2021-12-31","165246577.9500","-0.0661"
"000017","2022-12-31","444762238.2500","-0.0485"
"000018","2000-12-31","163758188.0000","0.0166"
"000018","2001-12-31","141757227.0000","0.0027"
"000018","2002-12-31","161738325.0000","0.0039"
"000018","2003-12-31","208255352.0000","0.0049"
"000018","2004-12-31","264335516.0000","0.0013"
"000018","2005-12-31","272060118.0000","-0.1456"
"000018","2006-12-31","240613550.0000","0.0700"
"000018","2007-12-31","103568595.0000","-0.5288"
"000018","2008-12-31","46881258.0000","-0.1729"
"000018","2009-12-31","27517759.0000","0.0853"
"000018","2010-12-31","9351110.0000","0.0166"
"000018","2011-12-31","9850484.0000","-0.1344"
"000018","2012-12-31","11095669.0000","-0.0021"
"000018","2013-12-31","26998990.0000","0.0649"
"000018","2014-12-31","11015403.0000","0.0337"
"000018","2015-12-31","4010358999.5800","0.4909"
"000018","2016-12-31","4664999117.1700","0.3035"
"000018","2017-12-31","6497124980.5200","0.1878"
"000018","2018-12-31","2426987687.0200","-1.3618"
"000019","2000-12-31","70239790.8800","0.0367"
"000019","2001-12-31","61185232.8900","0.0369"
"000019","2002-12-31","77369354.7500","0.0351"
"000019","2003-12-31","62066553.2900","-0.1864"
"000019","2004-12-31","64753538.3300","-0.0073"
"000019","2005-12-31","81462390.8900","0.0178"
"000019","2006-12-31","102483106.6400","0.1364"
"000019","2007-12-31","192241044.9000","0.1346"
"000019","2008-12-31","151118088.6100","0.0427"
"000019","2009-12-31","184142192.5300","-0.0264"
"000019","2010-12-31","229797398.1700","0.0243"
"000019","2011-12-31","318230243.6700","0.0153"
"000019","2012-12-31","310790324.7000","0.0781"
"000019","2013-12-31","438318662.2500","0.0448"
"000019","2014-12-31","368121399.8400","0.0141"
"000019","2015-12-31","338224512.3100","-0.0440"
"000019","2016-12-31","273383642.9900","0.0898"
"000019","2017-12-31","315762708.3500","-0.0609"
"000019","2018-12-31","10758782838.1400","0.1211"
"000019","2019-12-31","11059984335.9200","0.0858"
"000019","2020-12-31","11884527506.3400","0.0857"
"000019","2021-12-31","10139563710.1100","0.0919"
"000019","2022-12-31","8312723058.1900","0.0878"
"000020","2000-12-31","118411642.0900","0.0094"
"000020","2001-12-31","82861878.6200","0.0103"
"000020","2002-12-31","128961236.7500","0.0183"
"000020","2003-12-31","118522402.8100","-0.0271"
"000020","2004-12-31","129245944.7100","-0.1743"
"000020","2005-12-31","114421667.7800","0.0281"
"000020","2006-12-31","161208668.3700","-0.0845"
"000020","2007-12-31","193244882.8500","0.0947"
"000020","2008-12-31","189401245.0800","0.0309"
"000020","2009-12-31","508262752.5400","0.0166"
"000020","2010-12-31","745580123.3800","0.0354"
"000020","2011-12-31","875778275.0900","0.0382"
"000020","2012-12-31","723891496.5400","0.0116"
"000020","2013-12-31","626821044.6400","-0.0235"
"000020","2014-12-31","694839760.1000","0.0277"
"000020","2015-12-31","499455781.1100","-0.0141"
"000020","2016-12-31","619167770.7400","0.0172"
"000020","2017-12-31","858040132.7400","0.0030"
"000020","2018-12-31","637046707.0300","0.0102"
"000020","2019-12-31","721557440.5100","0.0167"
"000020","2020-12-31","691742269.1200","0.0205"
"000020","2021-12-31","765611248.7000","0.0212"
"000020","2022-12-31","664435128.1200","0.0291"
"000021","2000-12-31","3864107460.4600","0.0664"
"000021","2001-12-31","3918688710.5600","-0.0099"
"000021","2002-12-31","6178905547.7600","0.0263"
"000021","2003-12-31","7859763920.2300","0.0929"
"000021","2004-12-31","6921286997.1100","0.0880"
"000021","2005-12-31","8059216077.7100","0.1137"
"000021","2006-12-31","10296723134.6800","0.1143"
"000021","2007-12-31","13093236225.3400","0.2153"
"000021","2008-12-31","13947277119.6700","0.0911"
"000021","2009-12-31","13405312857.4300","0.0717"
"000021","2010-12-31","20771541038.1700","0.0845"
"000021","2011-12-31","18630380585.0400","0.0500"
"000021","2012-12-31","16399516862.9200","0.0020"
"000021","2013-12-31","15039531962.5100","0.0349"
"000021","2014-12-31","16444164971.3300","0.0320"
"000021","2015-12-31","15361814755.4400","0.0352"
"000021","2016-12-31","15069170534.4400","0.0426"
"000021","2017-12-31","14209778550.4600","0.1022"
"000021","2018-12-31","16061005965.2700","0.0918"
"000021","2019-12-31","13223818815.0800","0.0655"
"000021","2020-12-31","14967234846.4300","0.1261"
"000021","2021-12-31","16488253175.9700","0.0856"
"000021","2022-12-31","16118375162.3800","0.0588"
"000022","2000-12-31","432170658.8900","0.0919"
"000022","2001-12-31","475852613.0000","0.0945"
"000022","2002-12-31","738687403.0000","0.1964"
"000022","2003-12-31","1047836118.0000","0.2777"
"000022","2004-12-31","1552651737.0000","0.3660"
"000022","2005-12-31","1774334469.0000","0.3234"
"000022","2006-12-31","1905312912.0000","0.3109"
"000022","2007-12-31","2003562530.0000","0.3202"
"000022","2008-12-31","1914007717.0000","0.2918"
"000022","2009-12-31","1465434512.0000","0.1791"
"000022","2010-12-31","1740417668.0000","0.2287"
"000022","2011-12-31","1708136899.0000","0.1688"
"000022","2012-12-31","1783846135.0000","0.1437"
"000022","2013-12-31","1780774836.3000","0.1398"
"000022","2014-12-31","1804766176.3100","0.1103"
"000022","2015-12-31","1872608596.1600","0.1292"
"000022","2016-12-31","1905107140.4200","0.1233"
"000022","2017-12-31","2456218834.6300","0.1170"
"000023","2000-12-31","256863445.2200","0.0682"
"000023","2001-12-31","223029552.6500","-0.2600"
"000023","2002-12-31","336051351.2000","0.0399"
"000023","2003-12-31","410022147.6400","0.0412"
"000023","2004-12-31","494972239.5200","0.0490"
"000023","2005-12-31","412309765.4300","-0.0940"
"000023","2006-12-31","663360228.8000","0.1276"
"000023","2007-12-31","626407643.3500","0.0521"
"000023","2008-12-31","536427124.6400","0.0720"
"000023","2009-12-31","780131223.1000","0.0793"
"000023","2010-12-31","919614365.0700","0.0414"
"000023","2011-12-31","800148296.5100","0.0275"
"000023","2012-12-31","877948945.4700","0.0136"
"000023","2013-12-31","1069538387.0300","0.0288"
"000023","2014-12-31","1092355141.9300","0.0359"
"000023","2015-12-31","1037804110.0600","0.0611"
"000023","2016-12-31","1009960351.9600","0.0351"
"000023","2017-12-31","1229187086.9100","0.0614"
"000023","2018-12-31","1611326480.8100","0.0713"
"000023","2019-12-31","1830534177.0800","0.1366"
"000023","2020-12-31","1783181437.2800","0.0376"
"000023","2021-12-31","1479874574.5100","-0.0449"
"000023","2022-12-31","363037617.9700","-0.7016"
"000024","2000-12-31","2917231109.5200","0.1399"
"000024","2001-12-31","3320820664.0000","0.0968"
"000024","2002-12-31","3854153934.0000","0.1071"
"000024","2003-12-31","4838834917.0000","0.1206"
"000024","2004-12-31","3475895992.0000","0.1110"
"000024","2005-12-31","2659475668.0000","0.1182"
"000024","2006-12-31","2939402576.0000","0.1412"
"000024","2007-12-31","4111644668.0000","0.1752"
"000024","2008-12-31","3573184200.0000","0.0859"
"000024","2009-12-31","10137701049.0000","0.1015"
"000024","2010-12-31","13782425231.0000","0.1259"
"000024","2011-12-31","15111366642.0000","0.1459"
"000024","2012-12-31","25296762154.4600","0.1593"
"000024","2013-12-31","32567813857.5200","0.1612"
"000024","2014-12-31","43385058201.0900","0.1333"
"000025","2000-12-31","152616059.1200","-0.7266"
"000025","2001-12-31","703244863.1900","0.0369"
"000025","2002-12-31","1289321184.2300","-0.1408"
"000025","2003-12-31","1436382877.7200","0.0403"
"000025","2004-12-31","1124745615.7600","0.0378"
"000025","2005-12-31","1043810667.4200","0.0284"
