"Markettype","Trddt","Dretmdeq"
"16","2016-04-29","-0.001641"
"4","2016-04-29","0.000447"
"1","2016-04-29","0.000559"
"8","2016-05-03","0.009607"
"2","2016-05-03","0.016142"
"16","2016-05-03","0.042860"
"4","2016-05-03","0.032032"
"1","2016-05-03","0.029102"
"8","2016-05-04","-0.002038"
"2","2016-05-04","0.000784"
"4","2016-05-04","0.001438"
"1","2016-05-04","0.002013"
"16","2016-05-04","0.004316"
"8","2016-05-05","0.000040"
"2","2016-05-05","-0.000489"
"4","2016-05-05","0.008120"
"1","2016-05-05","0.005411"
"16","2016-05-05","0.014320"
"8","2016-05-06","-0.024592"
"2","2016-05-06","-0.021824"
"4","2016-05-06","-0.043285"
"1","2016-05-06","-0.040533"
"16","2016-05-06","-0.045283"
"8","2016-05-09","-0.036975"
"2","2016-05-09","-0.025708"
"4","2016-05-09","-0.048028"
"1","2016-05-09","-0.042801"
"16","2016-05-09","-0.046921"
"8","2016-05-10","-0.000150"
"2","2016-05-10","-0.003378"
"4","2016-05-10","-0.002322"
"1","2016-05-10","-0.000865"
"16","2016-05-10","-0.002774"
"8","2016-05-11","-0.008204"
"2","2016-05-11","-0.018270"
"4","2016-05-11","-0.008297"
"1","2016-05-11","-0.004350"
"16","2016-05-11","-0.016935"
"8","2016-05-12","-0.011398"
"2","2016-05-12","-0.008254"
"4","2016-05-12","-0.003959"
"1","2016-05-12","-0.005351"
"16","2016-05-12","-0.003122"
"8","2016-05-13","-0.002567"
"2","2016-05-13","-0.006944"
"4","2016-05-13","-0.003222"
"1","2016-05-13","-0.001811"
"16","2016-05-13","-0.003335"
"8","2016-05-16","0.004649"
"2","2016-05-16","0.010770"
"4","2016-05-16","0.021789"
"1","2016-05-16","0.018196"
"16","2016-05-16","0.025581"
"8","2016-05-17","-0.002400"
"2","2016-05-17","-0.001993"
"1","2016-05-17","-0.003047"
"16","2016-05-17","0.007530"
"4","2016-05-17","-0.001244"
"8","2016-05-18","-0.032466"
"2","2016-05-18","-0.026957"
"1","2016-05-18","-0.030069"
"16","2016-05-18","-0.043567"
"4","2016-05-18","-0.034976"
"8","2016-05-19","0.000062"
"2","2016-05-19","-0.014122"
"1","2016-05-19","0.004786"
"16","2016-05-19","0.013966"
"4","2016-05-19","0.005865"
"8","2016-05-20","-0.001127"
"2","2016-05-20","0.003831"
"1","2016-05-20","0.011348"
"16","2016-05-20","0.022000"
"4","2016-05-20","0.012703"
"8","2016-05-23","0.013834"
"2","2016-05-23","0.012830"
"1","2016-05-23","0.015410"
"16","2016-05-23","0.027248"
"4","2016-05-23","0.017669"
"8","2016-05-24","0.000025"
"2","2016-05-24","-0.009599"
"1","2016-05-24","-0.011135"
"16","2016-05-24","-0.009910"
"4","2016-05-24","-0.009514"
"8","2016-05-25","0.003777"
"2","2016-05-25","0.000217"
"1","2016-05-25","-0.002628"
"16","2016-05-25","0.000479"
"4","2016-05-25","-0.001707"
"8","2016-05-26","-0.002275"
"2","2016-05-26","-0.001884"
"1","2016-05-26","0.004618"
"16","2016-05-26","0.012380"
"4","2016-05-26","0.004403"
"8","2016-05-27","0.010021"
"2","2016-05-27","0.001242"
"1","2016-05-27","0.001491"
"16","2016-05-27","-0.002982"
"4","2016-05-27","0.001267"
"8","2016-05-30","-0.002536"
"2","2016-05-30","-0.002508"
"1","2016-05-30","-0.003919"
"16","2016-05-30","-0.002850"
"4","2016-05-30","-0.004951"
"8","2016-05-31","0.029967"
"2","2016-05-31","0.045753"
"1","2016-05-31","0.041634"
"16","2016-05-31","0.056576"
"4","2016-05-31","0.044499"
"8","2016-06-01","0.001881"
"2","2016-06-01","-0.000687"
"1","2016-06-01","0.005842"
"16","2016-06-01","0.014855"
"4","2016-06-01","0.008352"
"8","2016-06-02","0.006472"
"2","2016-06-02","0.005084"
"1","2016-06-02","0.010539"
"16","2016-06-02","0.020185"
"4","2016-06-02","0.011859"
"8","2016-06-03","0.007025"
"2","2016-06-03","0.003671"
"1","2016-06-03","0.004440"
"16","2016-06-03","0.005615"
"4","2016-06-03","0.004572"
"8","2016-06-06","-0.000450"
"2","2016-06-06","-0.000434"
"1","2016-06-06","0.002234"
"16","2016-06-06","0.003681"
"4","2016-06-06","0.004715"
"8","2016-06-07","0.000278"
"2","2016-06-07","-0.001040"
"1","2016-06-07","0.003113"
"16","2016-06-07","0.010568"
"4","2016-06-07","0.003161"
"8","2016-06-08","-0.000645"
"2","2016-06-08","-0.000161"
"1","2016-06-08","-0.004354"
"16","2016-06-08","-0.003485"
"4","2016-06-08","-0.001864"
"8","2016-06-13","-0.025049"
"2","2016-06-13","-0.034581"
"1","2016-06-13","-0.047986"
"16","2016-06-13","-0.066914"
"4","2016-06-13","-0.053106"
"8","2016-06-14","-0.000292"
"2","2016-06-14","0.002676"
"1","2016-06-14","0.004521"
"16","2016-06-14","0.004749"
"4","2016-06-14","0.003767"
"8","2016-06-15","0.013248"
"2","2016-06-15","0.017270"
"1","2016-06-15","0.030997"
"16","2016-06-15","0.047046"
"4","2016-06-15","0.037417"
"8","2016-06-16","-0.006409"
"2","2016-06-16","-0.008051"
"1","2016-06-16","-0.001536"
"16","2016-06-16","0.002583"
"4","2016-06-16","0.000116"
"8","2016-06-17","0.004687"
"2","2016-06-17","0.003946"
"1","2016-06-17","0.007655"
"16","2016-06-17","0.015653"
"4","2016-06-17","0.008387"
"8","2016-06-20","-0.004381"
"2","2016-06-20","-0.001253"
"1","2016-06-20","0.001894"
"16","2016-06-20","0.013065"
"4","2016-06-20","0.002849"
"8","2016-06-21","-0.000086"
"2","2016-06-21","-0.000176"
"1","2016-06-21","-0.007167"
"16","2016-06-21","-0.016678"
"4","2016-06-21","-0.011089"
"8","2016-06-22","0.010484"
"2","2016-06-22","0.008938"
"1","2016-06-22","0.014400"
"16","2016-06-22","0.030894"
"4","2016-06-22","0.018397"
"8","2016-06-23","-0.000711"
"2","2016-06-23","-0.001221"
"1","2016-06-23","-0.005413"
"16","2016-06-23","-0.001797"
"4","2016-06-23","-0.001721"
"8","2016-06-24","-0.002900"
"2","2016-06-24","-0.011541"
"1","2016-06-24","-0.012479"
"16","2016-06-24","-0.000998"
"4","2016-06-24","-0.010068"
"8","2016-06-27","0.013957"
"2","2016-06-27","0.012956"
"1","2016-06-27","0.023125"
"16","2016-06-27","0.038865"
"4","2016-06-27","0.025086"
"8","2016-06-28","0.006675"
"2","2016-06-28","0.007192"
"1","2016-06-28","0.011767"
"16","2016-06-28","0.015954"
"4","2016-06-28","0.013122"
"8","2016-06-29","0.001282"
"2","2016-06-29","0.003903"
"1","2016-06-29","0.006375"
"16","2016-06-29","0.003941"
"4","2016-06-29","0.003401"
"8","2016-06-30","0.003018"
