"Indexcd","Trddt","Clsindex"
"000001","2005-08-29","1154.428"
"000001","2005-08-30","1146.385"
"000001","2005-08-31","1162.798"
"000001","2005-09-01","1184.933"
"000001","2005-09-02","1188.848"
"000001","2005-09-05","1196.224"
"000001","2005-09-06","1173.322"
"000001","2005-09-07","1194.309"
"000001","2005-09-08","1194.411"
"000001","2005-09-09","1189.625"
"000001","2005-09-12","1188.212"
"000001","2005-09-13","1207.164"
"000001","2005-09-14","1217.261"
"000001","2005-09-15","1217.281"
"000001","2005-09-16","1212.947"
"000001","2005-09-19","1220.627"
"000001","2005-09-20","1212.617"
"000001","2005-09-21","1187.988"
"000001","2005-09-22","1159.960"
"000001","2005-09-23","1151.980"
"000001","2005-09-26","1155.042"
"000001","2005-09-27","1133.237"
"000001","2005-09-28","1131.774"
"000001","2005-09-29","1155.485"
"000001","2005-09-30","1155.610"
"000001","2005-10-10","1138.950"
"000001","2005-10-11","1157.192"
"000001","2005-10-12","1161.853"
"000001","2005-10-13","1152.607"
"000001","2005-10-14","1139.547"
"000001","2005-10-17","1131.375"
"000001","2005-10-18","1141.201"
"000001","2005-10-19","1134.608"
"000001","2005-10-20","1135.949"
"000001","2005-10-21","1141.318"
"000001","2005-10-24","1141.171"
"000001","2005-10-25","1121.918"
"000001","2005-10-26","1097.161"
"000001","2005-10-27","1097.782"
"000001","2005-10-28","1080.867"
"000001","2005-10-31","1092.817"
"000001","2005-11-01","1089.950"
"000001","2005-11-02","1104.792"
"000001","2005-11-03","1095.273"
"000001","2005-11-04","1100.045"
"000001","2005-11-07","1100.650"
"000001","2005-11-08","1110.147"
"000001","2005-11-09","1108.153"
"000001","2005-11-10","1088.301"
"000001","2005-11-11","1090.195"
"000001","2005-11-14","1088.653"
"000001","2005-11-15","1087.508"
"000001","2005-11-16","1095.890"
"000001","2005-11-17","1095.310"
"000001","2005-11-18","1116.999"
"000001","2005-11-21","1119.936"
"000001","2005-11-22","1098.655"
"000001","2005-11-23","1105.746"
"000001","2005-11-24","1113.374"
"000001","2005-11-25","1114.916"
"000001","2005-11-28","1110.823"
"000001","2005-11-29","1096.986"
"000001","2005-11-30","1099.261"
"000001","2005-12-01","1098.747"
"000001","2005-12-02","1094.287"
"000001","2005-12-05","1079.197"
"000001","2005-12-06","1087.794"
"000001","2005-12-07","1099.615"
"000001","2005-12-08","1098.323"
"000001","2005-12-09","1113.477"
"000001","2005-12-12","1116.367"
"000001","2005-12-13","1117.846"
"000001","2005-12-14","1125.387"
"000001","2005-12-15","1123.555"
"000001","2005-12-16","1127.508"
"000001","2005-12-19","1131.751"
"000001","2005-12-20","1136.342"
"000001","2005-12-21","1130.759"
"000001","2005-12-22","1135.238"
"000001","2005-12-23","1144.871"
"000001","2005-12-26","1156.823"
"000001","2005-12-27","1154.288"
"000001","2005-12-28","1157.034"
"000001","2005-12-29","1169.862"
"000001","2005-12-30","1161.057"
"000001","2006-01-04","1180.963"
"000001","2006-01-05","1197.269"
"000001","2006-01-06","1209.422"
"000001","2006-01-09","1215.668"
"000001","2006-01-10","1220.618"
"000001","2006-01-11","1211.053"
"000001","2006-01-12","1226.704"
"000001","2006-01-13","1221.459"
"000001","2006-01-16","1202.869"
"000001","2006-01-17","1208.438"
"000001","2006-01-18","1233.350"
"000001","2006-01-19","1251.576"
"000001","2006-01-20","1255.308"
"000001","2006-01-23","1255.774"
"000001","2006-01-24","1252.062"
"000001","2006-01-25","1258.046"
"000001","2006-02-06","1287.626"
"000001","2006-02-07","1282.096"
"000001","2006-02-08","1290.055"
"000001","2006-02-09","1269.454"
"000001","2006-02-10","1282.656"
"000001","2006-02-13","1279.640"
"000001","2006-02-14","1286.327"
"000001","2006-02-15","1299.166"
"000001","2006-02-16","1270.633"
"000001","2006-02-17","1267.408"
"000001","2006-02-20","1267.542"
"000001","2006-02-21","1288.419"
"000001","2006-02-22","1284.226"
"000001","2006-02-23","1288.847"
"000001","2006-02-24","1296.866"
"000001","2006-02-27","1297.186"
"000001","2006-02-28","1299.030"
"000001","2006-03-01","1306.586"
"000001","2006-03-02","1285.666"
"000001","2006-03-03","1293.297"
"000001","2006-03-06","1288.955"
"000001","2006-03-07","1259.916"
"000001","2006-03-08","1250.384"
"000001","2006-03-09","1245.166"
"000001","2006-03-10","1245.653"
"000001","2006-03-13","1259.674"
"000001","2006-03-14","1259.044"
"000001","2006-03-15","1274.812"
"000001","2006-03-16","1274.190"
"000001","2006-03-17","1269.462"
"000001","2006-03-20","1288.418"
"000001","2006-03-21","1290.395"
"000001","2006-03-22","1296.706"
"000001","2006-03-23","1302.457"
"000001","2006-03-24","1294.704"
"000001","2006-03-27","1290.191"
"000001","2006-03-28","1298.791"
"000001","2006-03-29","1305.567"
"000001","2006-03-30","1294.718"
"000001","2006-03-31","1298.295"
"000001","2006-04-03","1319.471"
"000001","2006-04-04","1329.798"
"000001","2006-04-05","1340.162"
"000001","2006-04-06","1339.737"
"000001","2006-04-07","1342.965"
"000001","2006-04-10","1359.081"
"000001","2006-04-11","1362.229"
"000001","2006-04-12","1360.132"
"000001","2006-04-13","1332.330"
"000001","2006-04-14","1359.538"
"000001","2006-04-17","1378.614"
"000001","2006-04-18","1385.114"
"000001","2006-04-19","1396.702"
"000001","2006-04-20","1385.900"
"000001","2006-04-21","1416.793"
"000001","2006-04-24","1409.786"
"000001","2006-04-25","1399.767"
"000001","2006-04-26","1417.477"
"000001","2006-04-27","1416.732"
"000001","2006-04-28","1440.223"
"000001","2006-05-08","1497.104"
"000001","2006-05-09","1531.161"
"000001","2006-05-10","1545.687"
"000001","2006-05-11","1537.377"
"000001","2006-05-12","1602.832"
"000001","2006-05-15","1664.088"
"000001","2006-05-16","1613.251"
"000001","2006-05-17","1625.146"
"000001","2006-05-18","1617.281"
"000001","2006-05-19","1659.545"
"000001","2006-05-22","1657.689"
"000001","2006-05-23","1604.552"
"000001","2006-05-24","1590.924"
"000001","2006-05-25","1591.425"
"000001","2006-05-26","1613.894"
"000001","2006-05-29","1648.538"
"000001","2006-05-30","1657.288"
"000001","2006-05-31","1641.300"
"000001","2006-06-01","1684.195"
"000001","2006-06-02","1669.399"
"000001","2006-06-05","1684.624"
"000001","2006-06-06","1679.126"
"000001","2006-06-07","1589.545"
"000001","2006-06-08","1591.490"
"000001","2006-06-09","1551.384"
"000001","2006-06-12","1552.798"
"000001","2006-06-13","1548.495"
"000001","2006-06-14","1531.327"
"000001","2006-06-15","1533.980"
"000001","2006-06-16","1574.467"
"000001","2006-06-19","1586.286"
"000001","2006-06-20","1592.332"
"000001","2006-06-21","1598.116"
"000001","2006-06-22","1596.066"
"000001","2006-06-23","1605.711"
"000001","2006-06-26","1633.449"
"000001","2006-06-27","1639.551"
"000001","2006-06-28","1639.286"
"000001","2006-06-29","1671.618"
"000001","2006-06-30","1672.211"
"000001","2006-07-03","1697.282"
"000001","2006-07-04","1681.547"
"000001","2006-07-05","1718.555"
"000001","2006-07-06","1741.470"
"000001","2006-07-07","1730.190"
"000001","2006-07-10","1734.329"
"000001","2006-07-11","1745.806"
"000001","2006-07-12","1740.000"
"000001","2006-07-13","1655.773"
"000001","2006-07-14","1665.208"
"000001","2006-07-17","1682.887"
"000001","2006-07-18","1684.252"
"000001","2006-07-19","1645.160"
"000001","2006-07-20","1655.122"
"000001","2006-07-21","1665.328"
"000001","2006-07-24","1665.944"
"000001","2006-07-25","1685.461"
"000001","2006-07-26","1686.654"
"000001","2006-07-27","1675.168"
"000001","2006-07-28","1662.031"
"000001","2006-07-31","1612.733"
"000001","2006-08-01","1600.614"
"000001","2006-08-02","1600.872"
"000001","2006-08-03","1601.058"
"000001","2006-08-04","1570.150"
"000001","2006-08-07","1547.436"
"000001","2006-08-08","1580.577"
"000001","2006-08-09","1578.566"
"000001","2006-08-10","1606.065"
"000001","2006-08-11","1605.926"
"000001","2006-08-14","1570.738"
"000001","2006-08-15","1595.657"
"000001","2006-08-16","1616.410"
"000001","2006-08-17","1603.332"
"000001","2006-08-18","1598.018"
"000001","2006-08-21","1601.150"
"000001","2006-08-22","1613.355"
"000001","2006-08-23","1612.396"
"000001","2006-08-24","1623.017"
"000001","2006-08-25","1623.034"
"000001","2006-08-28","1650.438"
"000001","2006-08-29","1651.024"
"000001","2006-08-30","1655.195"
"000001","2006-08-31","1658.638"
"000001","2006-09-01","1636.691"
"000001","2006-09-04","1657.520"
"000001","2006-09-05","1664.078"
"000001","2006-09-06","1672.121"
"000001","2006-09-07","1661.190"
"000001","2006-09-08","1667.984"
"000001","2006-09-11","1674.966"
"000001","2006-09-12","1695.862"
"000001","2006-09-13","1689.389"
"000001","2006-09-14","1689.692"
"000001","2006-09-15","1721.045"
"000001","2006-09-18","1732.987"
"000001","2006-09-19","1735.241"
"000001","2006-09-20","1732.453"
"000001","2006-09-21","1740.901"
"000001","2006-09-22","1725.361"
"000001","2006-09-25","1722.366"
"000001","2006-09-26","1712.637"
"000001","2006-09-27","1725.039"
"000001","2006-09-28","1736.963"
"000001","2006-09-29","1752.424"
"000001","2006-10-09","1785.385"
"000001","2006-10-10","1784.862"
"000001","2006-10-11","1790.104"
"000001","2006-10-12","1778.181"
"000001","2006-10-13","1784.656"
"000001","2006-10-16","1771.299"
"000001","2006-10-17","1763.901"
"000001","2006-10-18","1787.185"
"000001","2006-10-19","1792.253"
"000001","2006-10-20","1790.364"
"000001","2006-10-23","1759.394"
"000001","2006-10-24","1805.181"
"000001","2006-10-25","1806.646"
"000001","2006-10-26","1810.646"
"000001","2006-10-27","1807.175"
"000001","2006-10-30","1809.656"
"000001","2006-10-31","1837.993"
"000001","2006-11-01","1855.713"
"000001","2006-11-02","1851.314"
"000001","2006-11-03","1866.362"
"000001","2006-11-06","1886.307"
"000001","2006-11-07","1889.530"
"000001","2006-11-08","1866.817"
"000001","2006-11-09","1896.482"
"000001","2006-11-10","1883.347"
"000001","2006-11-13","1863.765"
"000001","2006-11-14","1888.239"
"000001","2006-11-15","1922.935"
"000001","2006-11-16","1941.547"
"000001","2006-11-17","1971.793"
"000001","2006-11-20","2017.279"
"000001","2006-11-21","2037.552"
"000001","2006-11-22","2041.355"
"000001","2006-11-23","2062.363"
"000001","2006-11-24","2050.812"
"000001","2006-11-27","2047.277"
"000001","2006-11-28","2038.721"
"000001","2006-11-29","2054.091"
"000001","2006-11-30","2099.289"
"000001","2006-12-01","2102.049"
"000001","2006-12-04","2161.648"
"000001","2006-12-05","2173.285"
"000001","2006-12-06","2156.604"
"000001","2006-12-07","2156.750"
"000001","2006-12-08","2093.638"
"000001","2006-12-11","2180.496"
"000001","2006-12-12","2218.951"
"000001","2006-12-13","2223.455"
"000001","2006-12-14","2249.110"
"000001","2006-12-15","2273.908"
"000001","2006-12-18","2332.434"
"000001","2006-12-19","2364.177"
"000001","2006-12-20","2373.205"
"000001","2006-12-21","2342.938"
"000001","2006-12-22","2343.668"
"000001","2006-12-25","2435.762"
"000001","2006-12-26","2479.732"
"000001","2006-12-27","2536.387"
"000001","2006-12-28","2567.594"
"000001","2006-12-29","2675.474"
"000001","2007-01-04","2715.719"
"000001","2007-01-05","2641.334"
"000001","2007-01-08","2707.199"
"000001","2007-01-09","2807.804"
"000001","2007-01-10","2825.576"
"000001","2007-01-11","2770.110"
"000001","2007-01-12","2668.110"
"000001","2007-01-15","2794.701"
"000001","2007-01-16","2821.017"
"000001","2007-01-17","2778.900"
"000001","2007-01-18","2756.983"
"000001","2007-01-19","2832.207"
"000001","2007-01-22","2933.190"
"000001","2007-01-23","2949.144"
"000001","2007-01-24","2975.129"
"000001","2007-01-25","2857.365"
"000001","2007-01-26","2882.558"
"000001","2007-01-29","2945.263"
"000001","2007-01-30","2930.562"
"000001","2007-01-31","2786.335"
"000001","2007-02-01","2785.432"
"000001","2007-02-02","2673.212"
"000001","2007-02-05","2612.537"
"000001","2007-02-06","2675.697"
"000001","2007-02-07","2716.175"
"000001","2007-02-08","2737.732"
"000001","2007-02-09","2730.386"
"000001","2007-02-12","2807.174"
"000001","2007-02-13","2831.872"
"000001","2007-02-14","2905.093"
"000001","2007-02-15","2993.008"
"000001","2007-02-16","2998.474"
"000001","2007-02-26","3040.599"
"000001","2007-02-27","2771.791"
"000001","2007-02-28","2881.073"
"000001","2007-03-01","2797.190"
"000001","2007-03-02","2831.526"
"000001","2007-03-05","2785.306"
"000001","2007-03-06","2840.175"
"000001","2007-03-07","2896.594"
"000001","2007-03-08","2928.015"
"000001","2007-03-09","2937.910"
"000001","2007-03-12","2954.914"
"000001","2007-03-13","2964.794"
"000001","2007-03-14","2906.334"
"000001","2007-03-15","2951.698"
"000001","2007-03-16","2930.481"
"000001","2007-03-19","3014.442"
"000001","2007-03-20","3032.195"
"000001","2007-03-21","3057.380"
"000001","2007-03-22","3071.225"
"000001","2007-03-23","3074.286"
"000001","2007-03-26","3122.811"
"000001","2007-03-27","3138.826"
"000001","2007-03-28","3173.018"
"000001","2007-03-29","3197.537"
"000001","2007-03-30","3183.983"
"000001","2007-04-02","3252.595"
"000001","2007-04-03","3291.299"
"000001","2007-04-04","3291.542"
"000001","2007-04-05","3319.140"
"000001","2007-04-06","3323.585"
"000001","2007-04-09","3398.950"
"000001","2007-04-10","3444.291"
"000001","2007-04-11","3495.224"
"000001","2007-04-12","3531.029"
"000001","2007-04-13","3518.267"
"000001","2007-04-16","3596.441"
"000001","2007-04-17","3611.870"
"000001","2007-04-18","3612.396"
"000001","2007-04-19","3449.016"
"000001","2007-04-20","3584.204"
"000001","2007-04-23","3710.886"
"000001","2007-04-24","3720.532"
"000001","2007-04-25","3743.959"
"000001","2007-04-26","3783.063"
"000001","2007-04-27","3759.867"
"000001","2007-04-30","3841.272"
"000001","2007-05-08","3950.011"
"000001","2007-05-09","4013.085"
"000001","2007-05-10","4049.701"
"000001","2007-05-11","4021.678"
"000001","2007-05-14","4046.392"
"000001","2007-05-15","3899.178"
"000001","2007-05-16","3986.043"
"000001","2007-05-17","4048.293"
"000001","2007-05-18","4030.258"
"000001","2007-05-21","4072.225"
"000001","2007-05-22","4110.379"
"000001","2007-05-23","4173.709"
"000001","2007-05-24","4151.133"
"000001","2007-05-25","4179.776"
"000001","2007-05-28","4272.111"
"000001","2007-05-29","4334.924"
